male 187.6 109.7
male 174.7 73.6
male 188.2 96.5
male 182.2 99.8
male 177.5 93.6
male 170.8 69
male 174.7 83.4
male 173.6 76.2
male 170.2 79.8
male 161.2 70.9
male 180.8 84.6
male 182 96.9
male 164.5 75.8
male 176 85.9
male 175.9 84.6
male 171.8 78.1
male 183.9 88.9
male 162.5 78.4
male 176.9 84.3
male 172.6 82.7
male 172.5 79
male 176.4 89.7
male 168 67.7
male 191 103.7
male 172.4 73.5
male 173.1 87.2
male 175.5 83.6
male 184.9 93.8
male 171.2 79.5
male 174 70
male 174.3 85
male 188 96.6
male 181.7 88.4
male 175.7 93.1
male 176.7 92.6
male 178.8 87.5
male 175.5 89.6
male 170.7 83.4
male 167.2 74.3
male 163.3 74
male 172.7 78.1
male 183.4 88
male 165.8 76.5
male 167.9 73.1
male 171.5 74.7
male 178.1 85.7
male 173.4 84.8
male 183.3 94.8
male 175.7 87.1
male 185.1 95.8
male 164.5 75.1
male 178.3 91.2
male 174 78.7
male 171 82.3
male 170.2 77
male 168.9 74.1
male 173.6 86
male 179.8 87.1
male 180.9 89.9
male 177.8 95
male 181.4 90.1
male 176.7 89.8
male 187.5 88.6
male 170.2 74.8
male 181.4 81.6
male 165.8 70.4
male 173.4 83.7
male 184.8 100.1
male 173 83.1
male 175 89.1
male 176 83.7
male 179.1 94.1
male 176.9 80.4
male 171.7 74
male 184.2 98.1
male 181 92.8
male 182.4 91.1
male 183.5 100.2
male 168.9 89.1
male 167.7 76.5
male 171.6 82.3
male 173.3 90.1
male 187.5 107.9
male 177.3 78.5
male 167.5 72.9
male 180.5 85.5
male 169.2 94.5
male 175.1 87.7
male 173.3 79
male 183.7 89.5
male 182.4 91.4
male 165.7 82.1
male 179.4 82.6
male 164.4 80.5
male 170.4 74.8
male 165.4 75.2
male 182.1 87.6
male 169.8 81.9
male 168.8 78.4
male 176.3 80.5
male 177.9 91.1
male 169.5 76.1
male 168.3 70
male 173.6 80.7
male 178 83.4
male 174.6 81.3
male 171.6 71.9
male 168.3 75.5
male 175.7 78
male 171.7 79.1
male 176 85.1
male 173.2 91.4
male 181.9 92.9
male 175.8 81
male 170.8 74.4
male 187.2 101.3
male 176.6 92
male 173.5 85.9
male 172.1 80.8
male 182.1 101.3
male 161.6 75.7
male 174.6 81.8
male 170.1 74.6
male 159.3 68
male 183.5 87.5
male 180.1 91.6
male 171.7 81.6
male 179.8 89.1
male 176 85.1
male 168.3 77.9
male 171.4 86.9
male 167.1 75.2
male 181.5 84.2
male 173.9 80.9
male 162.5 68.5
male 180.3 95.2
male 173.1 79
male 173.7 81.6
male 173 76.1
male 173.1 83
male 174.9 76.9
male 168 78.7
male 168.2 82
male 171.3 83.2
male 176.5 93.4
male 179.1 83.3
male 181.2 91.6
male 180.3 98
male 168.2 72.3
male 184.3 95.4
male 171.4 81
male 166 66.5
male 179.9 88.9
male 177.6 77.2
male 164.4 76.9
male 176 90
male 174.8 81.6
male 157.3 66.8
male 174.2 80.3
male 165.7 84.1
male 163.4 80.5
male 174.6 77
male 184.1 90.1
male 170.8 92.2
male 170.8 87.6
male 165.4 80.8
male 168.3 73.8
male 172 72.2
male 166.4 78.1
male 177.5 91.5
male 173.9 77.3
male 183.4 93.1
male 173.2 77
male 182.8 90.9
male 167.8 81
male 169.3 76.2
